                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1875,                 3.0524,                 1.4546,                0.52659,                0.63163,                0.62099,                 0.4584,                0.87384,                 2.4147,                 1.0815,              0.0033022,              0.0033022,              0.0033022
                      2,                 1.0987,                  1.592,                 1.1952,                0.73036,                 0.7369,                0.79932,                0.57716,                0.97731,                 1.6662,                 1.1835,              0.0066136,              0.0066136,              0.0066136
                      3,                 1.1653,                 1.3969,                 1.2263,                0.51109,                0.62233,                0.58598,                 0.3799,                 1.1836,                 3.4541,                 1.4604,              0.0099031,              0.0099031,              0.0099031
                      4,                 1.2241,                 1.2316,                 1.2604,                0.58273,                0.53497,                0.53653,                0.33127,                 1.2768,                 1.8995,                 1.4107,               0.009901,               0.009901,               0.009901
                      5,                 1.1875,                 1.0206,                 1.2424,                 0.7623,                0.79256,                0.82654,                0.55609,                 1.1496,                 1.1904,                 1.3141,               0.009868,               0.009868,               0.009868
                      6,                 1.1318,                0.90271,                 1.2132,                0.71025,                0.64451,                0.72632,                0.48551,                 1.1777,                 1.4271,                 1.3194,               0.009835,               0.009835,               0.009835
                      7,                 1.1068,                0.83206,                 1.2004,                0.80538,                0.82226,                0.88415,                0.61524,                 1.0503,                0.94618,                 1.2276,               0.009802,               0.009802,               0.009802
                      8,                  1.075,                0.77307,                 1.1792,                0.73893,                0.73889,                0.75315,                0.51419,                 1.1745,                 1.2359,                 1.3445,               0.009769,               0.009769,               0.009769
                      9,                 1.0583,                0.73098,                 1.1741,                0.86004,                0.82455,                0.89282,                0.63538,                 1.0242,                0.89578,                 1.1937,               0.009736,               0.009736,               0.009736
                     10,                 1.0144,                0.71343,                 1.1534,                0.87711,                0.74342,                0.84382,                0.60437,                 1.0476,                0.97452,                 1.2174,               0.009703,               0.009703,               0.009703
