                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1041,                 2.3229,                 1.3853,                0.83991,                0.76522,                0.88788,                0.65201,                0.92245,                 1.7191,                 1.1146,              0.0033229,              0.0033229,              0.0033229
                      2,                 0.9533,                 1.1467,                 1.1274,                0.89884,                0.86244,                0.93378,                0.69543,                0.91103,                0.97162,                 1.1153,              0.0066343,              0.0066343,              0.0066343
                      3,                0.97404,                0.92858,                 1.1404,                0.74408,                0.63817,                0.73644,                0.49659,                 1.2018,                  1.555,                 1.3245,              0.0099237,              0.0099237,              0.0099237
                      4,                 1.0013,                0.79766,                 1.1622,                0.71345,                0.73782,                0.80381,                0.55082,                  1.123,                 1.2087,                 1.2498,               0.009901,               0.009901,               0.009901
                      5,                0.90608,                0.65853,                 1.1228,                0.81733,                0.73276,                0.84962,                0.60504,                 1.0415,                 1.2211,                 1.2168,               0.009868,               0.009868,               0.009868
                      6,                0.83206,                0.58229,                  1.086,                0.91683,                0.88328,                 0.9457,                0.71739,                0.93871,                0.74684,                  1.107,               0.009835,               0.009835,               0.009835
                      7,                 0.7766,                0.53806,                 1.0612,                0.94932,                0.91297,                 0.9662,                0.74683,                0.90521,                0.55907,                 1.0996,               0.009802,               0.009802,               0.009802
                      8,                 0.7373,                0.49746,                 1.0389,                0.90858,                0.89205,                0.94193,                0.71515,                0.90248,                0.69586,                 1.1014,               0.009769,               0.009769,               0.009769
                      9,                0.70307,                0.47898,                  1.029,                0.93259,                0.93603,                0.96602,                0.75483,                0.86698,                0.58015,                 1.0789,               0.009736,               0.009736,               0.009736
                     10,                0.67724,                0.46074,                 1.0086,                0.90908,                0.86249,                 0.9428,                0.73243,                0.89034,                0.67592,                 1.0786,               0.009703,               0.009703,               0.009703
                     11,                0.64929,                0.43999,                0.99999,                0.94546,                0.92436,                0.96655,                0.75943,                0.85428,                0.53574,                 1.0632,                0.00967,                0.00967,                0.00967
                     12,                0.63072,                0.42806,                 0.9892,                0.94352,                 0.9178,                0.96412,                0.75704,                0.85109,                0.55039,                  1.057,               0.009637,               0.009637,               0.009637
                     13,                0.61478,                0.41778,                0.98021,                0.92441,                0.90913,                0.95371,                0.75138,                0.84862,                0.56154,                 1.0628,               0.009604,               0.009604,               0.009604
                     14,                0.58597,                0.40507,                0.97106,                0.95162,                0.92367,                0.97006,                0.77029,                0.82111,                0.50277,                  1.037,               0.009571,               0.009571,               0.009571
                     15,                0.57936,                0.39466,                0.96686,                0.93727,                0.92658,                0.96796,                0.76752,                0.85424,                0.52414,                 1.0736,               0.009538,               0.009538,               0.009538
                     16,                0.56635,                0.38612,                0.96135,                0.94414,                 0.9391,                0.96868,                  0.776,                 0.8369,                0.49773,                  1.043,               0.009505,               0.009505,               0.009505
                     17,                0.56242,                 0.3836,                0.95666,                0.96515,                   0.94,                0.97656,                0.79704,                 0.7808,                0.45915,                 1.0184,               0.009472,               0.009472,               0.009472
                     18,                0.54407,                0.37297,                0.95457,                0.94441,                0.95216,                0.97788,                0.78761,                0.80646,                0.46455,                 1.0206,               0.009439,               0.009439,               0.009439
                     19,                 0.5365,                0.36597,                0.95144,                0.95676,                0.94501,                0.97846,                0.79219,                0.80361,                0.44564,                 1.0134,               0.009406,               0.009406,               0.009406
                     20,                0.53529,                0.36607,                0.94963,                0.97196,                0.94442,                0.97604,                0.79662,                0.77397,                0.43019,                 1.0118,               0.009373,               0.009373,               0.009373
